# [HF, 3, 95, 10.0, 360, 0.0, 0.0, 1.7, 300.0, 42.0, 5620309.26] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[135, 0]",29,2,1,0
1,"[135, 1]",28,158,64,0
2,"[135, 2]",27,0,0,0
3,"[135, 3]",26,0,0,0
4,"[135, 4]",168,158,64,0
5,"[135, 5]",165,0,0,0
6,"[135, 6]",163,0,0,0
7,"[135, 7]",156,41,18,0
8,"[135, 8]",155,0,0,0
9,"[135, 9]",149,158,64,0
10,"[135, 10]",1739,41,18,0
11,"[135, 11]",1702,158,64,0
12,"[135, 12]",1700,54,24,0
13,"[135, 13]",1699,0,0,0
14,"[135, 14]",1698,0,0,0
15,"[135, 15]",1697,0,0,0
16,"[135, 16]",1696,0,0,0
17,"[135, 17]",1695,0,0,0
18,"[135, 18]",1692,2,1,0
19,"[135, 19]",1690,0,0,0
20,"[135, 20]",1688,0,0,0
21,"[135, 21]",1684,0,0,0
22,"[135, 22]",2889,2,1,0
23,"[135, 23]",2865,0,0,0
24,"[135, 24]",2864,0,0,0
25,"[135, 25]",2860,57,26,0
26,"[135, 26]",2835,0,0,0
27,"[135, 27]",2829,158,64,-1
28,"[135, 28]",2827,0,0,-1
29,"[135, 29]",2826,0,0,-1
30,"[135, 30]",2822,158,64,0
31,"[135, 31]",2821,0,0,0
32,"[135, 32]",2816,0,0,0
33,"[135, 33]",2812,59,28,0
34,"[135, 34]",6913,0,0,0
35,"[135, 35]",6877,158,64,0
36,"[135, 36]",6846,158,64,-1
37,"[135, 37]",6841,158,64,-1
38,"[135, 38]",6813,158,64,0
39,"[135, 39]",6811,0,0,0
40,"[135, 40]",6809,0,0,0
41,"[135, 41]",6808,0,0,0
42,"[135, 42]",6735,2,1,0
43,"[135, 43]",6732,158,64,5
44,"[135, 44]",7860,158,64,0
45,"[135, 45]",7859,0,0,0
46,"[135, 46]",7858,0,0,0
47,"[135, 47]",7853,0,0,0
48,"[135, 48]",7839,158,64,0
49,"[135, 49]",7698,156,64,0
50,"[135, 50]",11310,156,64,0
51,"[135, 51]",11277,0,0,-1
52,"[135, 52]",11275,0,0,-1
53,"[135, 53]",11272,2,1,6
54,"[135, 54]",11836,0,0,-1
55,"[135, 55]",11830,0,0,-1
56,"[135, 56]",13681,156,64,3
57,"[135, 57]",13653,156,64,-1
58,"[201, 0]",11653,0,0,0
59,"[201, 1]",10552,158,64,0
60,"[201, 2]",10550,0,0,0
61,"[201, 3]",7356,57,26,0
62,"[201, 4]",7355,0,0,0
63,"[201, 5]",14161,158,64,2
64,"[201, 6]",12904,2,1,0
65,"[201, 7]",12812,156,64,0
66,"[201, 8]",12258,156,64,12
67,"[201, 9]",20233,0,0,0
68,"[201, 10]",30023,2,1,0
69,"[282, 0]",4747,156,64,-1
70,"[282, 1]",8238,158,64,-1
71,"[305, 0]",6763,2,1,0
72,"[305, 1]",6762,2,1,0
73,"[331, 0]",16,0,0,-1
74,"[331, 1]",109,0,0,-1
75,"[331, 2]",101,0,0,-1
76,"[331, 3]",100,0,0,-1
77,"[331, 11]",1253,158,64,-1
78,"[331, 12]",1242,156,64,-1
79,"[331, 13]",1231,0,0,-1
80,"[331, 20]",1970,158,64,-1
81,"[331, 21]",1969,158,64,-1
82,"[331, 22]",1968,158,64,-1
83,"[331, 23]",1963,0,0,-1
84,"[331, 24]",1922,158,64,-1
85,"[331, 25]",1918,0,0,-1
86,"[331, 36]",3496,0,0,-1
87,"[331, 37]",3489,0,0,-1
88,"[331, 38]",3488,0,0,-1
89,"[331, 39]",5204,41,20,-1
90,"[340, 0]",30,0,0,-1
91,"[340, 1]",29,158,64,-1
92,"[340, 2]",156,0,0,-1
93,"[340, 3]",2079,158,64,-1
94,"[340, 4]",1916,158,64,-1
95,"[394, 1]",21483,158,64,-1
96,"[394, 12]",203071,158,64,-1
97,"[394, 13]",203070,0,0,-1
98,"[394, 15]",340758,2,1,-1
99,"[394, 24]",495540,156,64,-1
100,"[394, 25]",495539,0,0,-1
101,"[394, 39]",519434,158,64,-1
102,"[394, 40]",632624,158,64,-1
103,"[394, 43]",731797,158,64,-1
104,"[444, 0]",3764,2,1,-1
105,"[467, 0]",465,158,64,-1
106,"[467, 1]",424,158,64,-1
107,"[467, 2]",423,156,64,-1
108,"[490, 0]",5637,158,64,-1
109,"[490, 1]",5634,0,0,-1
110,"[490, 2]",6852,158,64,-1
111,"[508, 0]",19,0,0,-1
112,"[508, 1]",16,0,0,1
113,"[508, 2]",138,0,0,0
114,"[508, 3]",135,0,0,0
115,"[508, 4]",134,0,0,0
116,"[508, 5]",133,0,0,0
117,"[508, 6]",128,156,64,2
118,"[508, 7]",523,2,1,0
119,"[508, 8]",512,0,0,0
120,"[508, 9]",506,57,26,0
121,"[508, 10]",491,2,1,0
122,"[508, 11]",1270,37,18,0
123,"[520, 0]",1734,158,64,0
124,"[520, 1]",1731,0,0,0
125,"[520, 2]",1730,0,0,0
126,"[520, 3]",1727,0,0,0
127,"[520, 4]",2185,158,64,0
128,"[520, 5]",2184,0,0,0
129,"[520, 6]",2182,0,0,0
130,"[520, 7]",2181,0,0,0
131,"[520, 8]",2174,0,0,2
132,"[520, 9]",2171,0,0,0
133,"[520, 10]",4963,158,64,2
134,"[520, 11]",4952,158,64,6
135,"[520, 12]",4926,0,0,0
136,"[520, 13]",4925,2,1,0
137,"[520, 14]",4919,158,64,0
138,"[520, 15]",4908,158,64,0
139,"[520, 16]",5304,158,64,0
