# [HF, 3, 95, 10.0, 360, 0.0, 0.0, 1.7, 300.0, 42.0, 5620309.26] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[32, 0]",5580,57,26,0
1,"[32, 1]",5579,158,64,0
2,"[78, 0]",8964,156,64,11
3,"[78, 1]",11760,2,1,-1
4,"[78, 2]",11758,0,0,1
5,"[78, 3]",11501,0,0,0
6,"[78, 4]",16910,158,64,2
7,"[78, 5]",16867,158,64,-1
8,"[228, 0]",9708,158,64,0
9,"[228, 1]",6051,0,0,-1
10,"[228, 2]",16505,158,64,-1
11,"[228, 3]",23295,0,0,0
12,"[228, 4]",29883,0,0,0
13,"[228, 5]",34284,158,64,1
14,"[248, 0]",19780,41,18,0
15,"[248, 1]",18383,158,64,0
16,"[267, 0]",1512,158,64,-1
17,"[273, 0]",1585,158,64,3
18,"[273, 1]",14705,0,0,-1
19,"[273, 2]",18249,156,64,4
20,"[294, 0]",2472,41,18,0
21,"[294, 1]",2470,0,0,0
22,"[294, 2]",1523,158,64,-1
23,"[294, 3]",5993,2,1,0
24,"[328, 0]",5977,0,0,-1
25,"[328, 1]",5976,0,0,-1
26,"[328, 2]",5974,158,64,-1
27,"[425, 8]",6845,41,18,2
28,"[425, 9]",6843,0,0,1
29,"[425, 10]",12222,158,64,0
30,"[535, 0]",1203,158,64,0
31,"[535, 1]",1201,0,0,0
32,"[535, 2]",2216,158,64,0
33,"[646, 0]",796,158,64,-1
34,"[666, 8]",24272,0,0,-1
35,"[666, 12]",39948,158,64,-1
36,"[667, 23]",12619,158,64,-1
37,"[684, 0]",5280,158,64,0
38,"[705, 0]",2577,41,18,0
39,"[705, 1]",2574,0,0,0
40,"[705, 2]",763,158,64,0
41,"[705, 3]",4336,156,64,0
42,"[705, 4]",8072,41,18,0
43,"[705, 5]",8071,41,18,0
44,"[708, 0]",2040,41,18,0
45,"[708, 1]",2038,0,0,0
46,"[708, 2]",3388,0,0,1
47,"[708, 3]",5289,158,64,-1
48,"[749, 0]",5072,158,64,0
49,"[768, 3]",870,158,64,-1
50,"[801, 0]",4535,0,0,0
51,"[801, 1]",9811,158,64,0
52,"[801, 2]",31694,158,64,0
53,"[801, 3]",28614,0,0,0
54,"[801, 4]",39048,2,1,5
55,"[814, 4]",7878,158,64,-1
56,"[819, 0]",19,0,0,-1
57,"[819, 1]",148,158,64,-1
58,"[819, 2]",145,0,0,-1
59,"[819, 3]",143,0,0,-1
60,"[819, 4]",1146,0,0,-1
61,"[819, 5]",1142,0,0,-1
62,"[819, 6]",2120,158,64,-1
63,"[819, 7]",2119,13,6,-1
64,"[819, 8]",2117,0,0,-1
65,"[819, 9]",2081,0,0,-1
66,"[819, 10]",2860,158,64,-1
67,"[819, 11]",2858,158,64,-1
68,"[819, 12]",2828,51,24,-1
69,"[819, 13]",2827,0,0,-1
70,"[873, 1]",5035,2,1,-1
71,"[887, 0]",10468,158,64,-1
72,"[887, 1]",22469,158,64,-1
73,"[898, 0]",1421,0,0,4
74,"[898, 1]",4598,158,64,0
75,"[898, 2]",6332,41,18,0
76,"[898, 3]",6331,0,0,0
77,"[898, 4]",10406,2,1,0
78,"[908, 0]",5276,41,18,2
79,"[909, 6]",7326,2,1,-1
80,"[909, 8]",14364,158,64,-1
81,"[909, 9]",14362,0,0,-1
82,"[909, 10]",11446,158,64,-1
83,"[909, 11]",28243,158,64,-1
84,"[909, 12]",28241,0,0,-1
85,"[909, 13]",28239,158,64,-1
86,"[909, 14]",38102,0,0,-1
87,"[909, 15]",38101,0,0,-1
88,"[909, 19]",58771,2,1,-1
89,"[965, 4]",29396,158,64,-1
90,"[965, 5]",29393,0,0,-1
91,"[965, 6]",29392,0,0,-1
