# [HF, 3, 95, 10.0, 360, 0.0, 0.0, 1.7, 300.0, 42.0, 5620309.26] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 1]",7333,2,1,-1
1,"[158, 0]",4472,158,64,-1
2,"[178, 0]",2646,158,64,-1
3,"[207, 0]",711,158,64,0
4,"[207, 1]",708,0,0,0
5,"[207, 2]",899,41,18,0
6,"[242, 50]",207353,158,64,-1
7,"[285, 0]",2877,0,0,0
8,"[285, 1]",3568,158,64,0
9,"[285, 2]",7495,158,64,0
10,"[375, 0]",1824,2,1,0
11,"[375, 1]",1822,0,0,0
12,"[375, 2]",2506,156,64,0
13,"[466, 0]",10763,158,64,-1
14,"[548, 0]",887,158,64,-1
15,"[611, 0]",3868,158,64,-1
16,"[642, 0]",6865,55,26,6
17,"[679, 0]",3564,158,64,0
18,"[679, 1]",3563,2,1,0
19,"[731, 0]",19,41,18,0
20,"[731, 1]",18,0,0,0
21,"[731, 2]",98,0,0,1
22,"[731, 3]",97,0,0,1
23,"[731, 4]",96,0,0,-1
24,"[731, 5]",942,158,64,3
25,"[731, 6]",935,0,0,0
26,"[731, 7]",928,158,64,0
27,"[731, 8]",1433,2,1,0
28,"[833, 23]",1918,0,0,-1
29,"[833, 31]",5226,158,64,-1
30,"[872, 0]",672,158,64,-1
31,"[872, 1]",671,158,64,-1
32,"[918, 0]",2317,41,18,0
33,"[935, 0]",177,158,64,-1
34,"[935, 2]",12123,54,24,-1
35,"[935, 3]",15214,0,0,3
36,"[935, 4]",21170,158,64,0
37,"[1008, 0]",628,158,64,-1
38,"[1028, 0]",67648,0,0,-1
39,"[1028, 1]",68544,0,0,-1
40,"[1028, 2]",73674,158,64,-1
41,"[1210, 0]",7667,59,28,1
42,"[1229, 0]",2474,0,0,0
43,"[1229, 1]",6819,2,1,0
44,"[1232, 0]",2542,158,64,-1
45,"[1232, 1]",82127,158,64,-1
46,"[1232, 2]",51818,158,64,-1
47,"[1232, 3]",41703,158,64,-1
48,"[1232, 4]",165371,158,64,-1
49,"[1232, 5]",163905,158,64,-1
50,"[1232, 6]",163904,156,64,-1
51,"[1232, 7]",142209,0,0,-1
52,"[1232, 8]",142208,0,0,-1
53,"[1232, 9]",139410,158,64,-1
54,"[1232, 10]",121741,156,64,-1
55,"[1232, 11]",177780,0,0,-1
56,"[1232, 14]",174759,0,0,-1
57,"[1232, 15]",212756,156,64,-1
58,"[1232, 16]",212755,158,64,-1
59,"[1232, 17]",212753,0,0,-1
60,"[1232, 19]",202658,158,64,-1
61,"[1232, 20]",221643,158,64,-1
62,"[1232, 21]",221642,0,0,-1
63,"[1232, 22]",234932,158,64,-1
64,"[1232, 23]",231794,158,64,-1
65,"[1232, 24]",231791,158,64,-1
66,"[1312, 0]",6180,2,1,5
67,"[1365, 0]",53,0,0,-1
68,"[1365, 1]",50,0,0,-1
69,"[1365, 2]",47,0,0,-1
70,"[1365, 3]",45,0,0,1
71,"[1365, 12]",427,158,64,-1
72,"[1365, 13]",425,156,64,-1
73,"[1365, 14]",423,158,64,-1
74,"[1365, 15]",422,2,1,-1
75,"[1365, 16]",421,0,0,-1
76,"[1365, 17]",418,0,0,-1
77,"[1365, 18]",417,0,0,-1
78,"[1365, 19]",415,0,0,-1
79,"[1365, 20]",403,0,0,1
80,"[1365, 21]",401,0,0,1
81,"[1365, 22]",394,0,0,-1
82,"[1365, 23]",390,158,64,-1
83,"[1365, 24]",389,158,64,-1
84,"[1365, 25]",388,0,0,-1
85,"[1365, 26]",385,0,0,-1
86,"[1365, 27]",382,158,64,-1
87,"[1365, 28]",362,0,0,1
88,"[1365, 29]",354,0,0,-1
89,"[1365, 30]",352,0,0,-1
90,"[1365, 31]",351,0,0,3
91,"[1365, 32]",350,0,0,-1
92,"[1365, 33]",349,0,0,-1
93,"[1365, 34]",348,0,0,-1
94,"[1365, 35]",347,0,0,-1
95,"[1365, 36]",343,158,64,-1
96,"[1365, 37]",331,0,0,-1
97,"[1365, 38]",329,0,0,-1
98,"[1365, 39]",327,0,0,4
99,"[1365, 40]",325,0,0,-1
100,"[1365, 41]",324,0,0,-1
101,"[1365, 42]",323,0,0,-1
102,"[1365, 43]",312,158,64,0
103,"[1365, 44]",310,0,0,0
104,"[1365, 45]",307,0,0,0
105,"[1365, 46]",306,0,0,0
106,"[1365, 47]",304,0,0,0
107,"[1365, 48]",302,0,0,0
108,"[1365, 49]",278,0,0,-1
109,"[1365, 50]",277,0,0,-1
110,"[1365, 51]",273,57,26,1
111,"[1365, 52]",269,158,64,-1
112,"[1365, 53]",263,0,0,-1
113,"[1365, 54]",2071,0,0,1
114,"[1365, 55]",1973,158,64,-1
115,"[1365, 56]",1971,0,0,3
