# [HF, 3, 200, 10.0, 360, 0.0, 0.0, 3.5, 300.0, 42.0, 13998936.86] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[2, 0]",11345,158,64,-1
1,"[21, 0]",12718,156,64,0
2,"[21, 1]",12717,2,1,0
3,"[61, 0]",1112,158,64,0
4,"[78, 0]",1143,0,0,-1
5,"[78, 1]",1528,158,64,8
6,"[102, 0]",3503,158,64,-1
7,"[140, 0]",19,2,1,-1
8,"[140, 1]",18,158,64,-1
9,"[140, 2]",169,0,0,-1
10,"[140, 3]",161,0,0,-1
11,"[140, 4]",155,0,0,-1
12,"[140, 5]",1089,158,64,-1
13,"[140, 6]",1082,2,1,-1
14,"[140, 7]",1033,158,64,-1
15,"[140, 8]",1032,158,64,-1
16,"[140, 9]",1029,0,0,-1
17,"[140, 10]",1022,0,0,-1
18,"[140, 11]",2129,158,64,-1
19,"[140, 12]",2128,0,0,-1
20,"[140, 13]",2124,158,64,-1
21,"[140, 14]",2119,156,64,-1
22,"[140, 15]",2118,0,0,-1
23,"[140, 17]",3661,158,64,-1
24,"[140, 18]",3659,158,64,-1
25,"[140, 19]",3636,0,0,-1
26,"[140, 20]",3632,57,26,3
27,"[140, 21]",3631,0,0,-1
28,"[140, 22]",4834,158,64,-1
29,"[140, 23]",4797,158,64,-1
30,"[219, 0]",1080,158,64,-1
31,"[219, 1]",1079,0,0,-1
32,"[219, 2]",3126,0,0,-1
33,"[219, 3]",3722,41,18,9
34,"[244, 0]",9017,41,18,0
35,"[244, 1]",9016,0,0,0
36,"[244, 2]",9230,2,1,0
37,"[264, 0]",440,158,64,0
38,"[264, 1]",439,156,64,0
39,"[296, 0]",1017,0,0,0
40,"[296, 1]",1016,0,0,0
41,"[296, 2]",2446,2,1,0
42,"[296, 3]",2440,158,64,0
43,"[340, 0]",428,2,1,0
44,"[389, 0]",1629,2,1,7
45,"[389, 1]",1627,0,0,0
46,"[389, 2]",3378,0,0,0
47,"[389, 3]",4028,41,18,0
48,"[516, 0]",1436,158,64,-1
49,"[526, 77]",969,2,1,-1
50,"[526, 78]",968,156,64,-1
51,"[526, 89]",860,0,0,-1
52,"[526, 90]",859,0,0,-1
53,"[526, 95]",3825,158,64,-1
54,"[526, 96]",3824,0,0,-1
55,"[526, 97]",3820,158,64,-1
56,"[526, 139]",2514,0,0,-1
57,"[526, 148]",2376,0,0,-1
58,"[526, 179]",7709,0,0,-1
59,"[526, 180]",7703,0,0,-1
60,"[526, 181]",7694,0,0,-1
61,"[526, 192]",7318,0,0,-1
62,"[526, 205]",7100,158,64,-1
63,"[526, 252]",5803,156,64,-1
64,"[526, 253]",5802,158,64,-1
65,"[526, 264]",14603,158,64,-1
66,"[526, 265]",14423,158,64,-1
67,"[526, 266]",14422,0,0,-1
68,"[526, 298]",10475,158,64,-1
69,"[526, 299]",10473,0,0,-1
70,"[526, 308]",10023,0,0,-1
71,"[526, 315]",9202,158,64,-1
72,"[526, 316]",9188,158,64,-1
73,"[526, 317]",9185,158,64,-1
74,"[526, 318]",9184,158,64,-1
75,"[526, 323]",26770,158,64,-1
76,"[526, 330]",25142,156,64,-1
77,"[526, 357]",21272,158,64,-1
78,"[526, 358]",21271,0,0,-1
79,"[526, 359]",20619,158,64,-1
80,"[526, 361]",37170,158,64,-1
81,"[544, 0]",592,158,64,-1
82,"[615, 5]",11437,0,0,-1
83,"[615, 7]",16775,0,0,-1
84,"[615, 8]",26142,0,0,-1
85,"[615, 9]",30963,0,0,-1
86,"[615, 10]",38485,156,64,-1
87,"[621, 0]",1080,158,64,-1
88,"[670, 0]",1037,156,64,-1
89,"[717, 0]",754,0,0,0
90,"[717, 1]",752,0,0,0
91,"[717, 2]",751,0,0,0
92,"[717, 3]",1728,57,26,0
93,"[717, 4]",1721,2,1,0
94,"[717, 5]",1704,41,18,0
95,"[742, 0]",356,158,64,-1
96,"[742, 1]",353,2,1,-1
97,"[744, 0]",609,158,64,-1
98,"[807, 0]",22,0,0,-1
99,"[807, 1]",218,158,64,-1
100,"[807, 2]",216,0,0,-1
101,"[807, 3]",215,0,0,-1
102,"[807, 4]",214,0,0,-1
103,"[807, 15]",1096,158,64,-1
104,"[807, 16]",1093,0,0,-1
105,"[807, 17]",1087,0,0,-1
106,"[807, 18]",1082,158,64,-1
107,"[807, 19]",1080,158,64,-1
108,"[807, 20]",1079,156,64,-1
109,"[807, 21]",1078,158,64,-1
110,"[807, 22]",1077,156,64,-1
111,"[807, 23]",1076,158,64,-1
112,"[807, 24]",1075,158,64,-1
113,"[807, 25]",1074,158,64,-1
114,"[807, 26]",1073,156,64,-1
115,"[807, 27]",1072,156,64,-1
116,"[807, 28]",1071,158,64,-1
117,"[807, 29]",1066,158,64,-1
118,"[807, 30]",1065,0,0,-1
119,"[807, 31]",1062,158,64,-1
120,"[807, 32]",1060,0,0,-1
121,"[807, 33]",3376,158,64,-1
122,"[807, 34]",3324,0,0,-1
123,"[807, 35]",3205,0,0,-1
124,"[807, 36]",3199,0,0,-1
125,"[807, 37]",3198,0,0,-1
126,"[807, 38]",3184,156,64,-1
127,"[807, 42]",4704,158,64,-1
128,"[807, 43]",4703,0,0,-1
129,"[807, 44]",4698,0,0,-1
130,"[807, 45]",4658,0,0,-1
131,"[807, 46]",4653,2,1,-1
132,"[807, 47]",3958,158,64,-1
133,"[807, 48]",3955,156,64,-1
134,"[807, 49]",9607,0,0,-1
135,"[807, 50]",9606,0,0,-1
136,"[807, 51]",9600,158,64,-1
137,"[807, 52]",9599,158,64,-1
138,"[807, 53]",9568,156,64,-1
139,"[807, 54]",9567,0,0,-1
140,"[807, 55]",10161,0,0,-1
141,"[807, 56]",10158,2,1,-1
142,"[807, 57]",15220,158,64,-1
143,"[899, 0]",2223,0,0,0
144,"[899, 1]",3601,0,0,0
145,"[899, 2]",4362,0,0,0
146,"[899, 3]",5654,158,64,-1
147,"[945, 430]",34958,0,0,-1
148,"[945, 594]",49956,158,64,-1
149,"[945, 595]",49954,0,0,-1
150,"[945, 667]",40463,0,0,-1
151,"[945, 674]",123249,158,64,-1
152,"[945, 685]",115205,158,64,-1
153,"[945, 713]",109007,158,64,-1
154,"[945, 738]",140102,156,64,-1
155,"[956, 0]",4416,0,0,-1
156,"[956, 1]",4609,2,1,3
157,"[1048, 0]",761,156,64,-1
158,"[1062, 0]",2993,41,18,33
159,"[1065, 0]",1121,158,64,-1
160,"[1072, 6]",2495,158,64,-1
161,"[1402, 0]",33,0,0,-1
162,"[1402, 1]",173,0,0,-1
163,"[1402, 2]",170,0,0,-1
164,"[1402, 3]",165,0,0,-1
165,"[1402, 4]",162,158,64,-1
166,"[1402, 5]",160,0,0,-1
167,"[1402, 6]",144,0,0,-1
168,"[1402, 7]",135,2,1,-1
169,"[1402, 8]",133,158,64,-1
170,"[1402, 9]",132,0,0,-1
171,"[1402, 10]",131,0,0,-1
172,"[1402, 11]",129,0,0,-1
173,"[1402, 12]",125,0,0,-1
174,"[1402, 13]",1355,158,64,-1
175,"[1402, 14]",1350,158,64,-1
176,"[1402, 15]",1344,158,64,-1
177,"[1402, 16]",1340,0,0,-1
178,"[1402, 17]",1298,0,0,-1
179,"[1402, 18]",1297,0,0,-1
180,"[1402, 19]",1281,156,64,-1
181,"[1402, 20]",1276,156,64,-1
182,"[1402, 21]",1232,2,1,-1
183,"[1402, 22]",1224,158,64,-1
184,"[1402, 23]",1223,158,64,-1
185,"[1402, 24]",1222,0,0,-1
186,"[1402, 25]",1214,158,64,-1
187,"[1402, 26]",1212,0,0,-1
188,"[1402, 27]",1206,158,64,-1
189,"[1402, 28]",1165,0,0,-1
190,"[1402, 29]",1163,158,64,-1
191,"[1402, 30]",1162,158,64,-1
192,"[1402, 31]",1160,2,1,-1
193,"[1402, 32]",1149,158,64,-1
194,"[1402, 33]",1148,0,0,-1
195,"[1402, 34]",1135,0,0,-1
196,"[1402, 35]",1129,158,64,-1
197,"[1402, 36]",1128,156,64,-1
198,"[1402, 37]",1124,158,64,-1
199,"[1402, 38]",1091,158,64,-1
200,"[1402, 39]",1084,158,64,-1
201,"[1402, 40]",1082,0,0,-1
202,"[1402, 41]",1078,0,0,-1
203,"[1402, 42]",1073,156,64,-1
204,"[1402, 43]",1064,0,0,-1
205,"[1402, 44]",1060,0,0,-1
206,"[1402, 45]",1059,0,0,-1
207,"[1402, 46]",1055,0,0,-1
208,"[1402, 47]",1051,158,64,-1
209,"[1402, 48]",1050,0,0,-1
210,"[1402, 49]",1047,158,64,-1
211,"[1402, 50]",1036,0,0,-1
212,"[1402, 51]",1024,158,64,-1
213,"[1402, 52]",1017,158,64,-1
214,"[1402, 55]",3289,156,64,-1
215,"[1402, 56]",3288,0,0,-1
216,"[1402, 59]",3278,158,64,-1
217,"[1402, 60]",3276,0,0,-1
218,"[1402, 63]",3252,0,0,-1
219,"[1402, 64]",3239,158,64,-1
220,"[1402, 65]",3237,0,0,-1
221,"[1402, 66]",3225,0,0,-1
222,"[1402, 67]",3219,0,0,-1
223,"[1402, 68]",3211,158,64,-1
224,"[1402, 69]",3205,2,1,-1
225,"[1402, 70]",3199,156,64,-1
226,"[1402, 71]",3122,0,0,-1
227,"[1402, 72]",3121,0,0,-1
228,"[1402, 73]",3118,158,64,-1
229,"[1402, 74]",3117,158,64,-1
230,"[1402, 75]",3114,0,0,-1
231,"[1402, 76]",3102,158,64,-1
232,"[1402, 77]",3097,158,64,-1
233,"[1402, 78]",3096,0,0,-1
234,"[1402, 79]",3083,158,64,-1
235,"[1402, 80]",2781,0,0,-1
236,"[1402, 82]",2764,158,64,-1
237,"[1402, 83]",2760,0,0,-1
238,"[1402, 85]",2737,0,0,-1
239,"[1402, 88]",2690,158,64,-1
240,"[1402, 89]",2681,0,0,-1
241,"[1402, 90]",2680,0,0,-1
242,"[1402, 91]",2679,0,0,-1
243,"[1402, 92]",2675,0,0,-1
244,"[1402, 93]",2654,158,64,-1
245,"[1402, 94]",2544,0,0,-1
246,"[1402, 95]",2498,158,64,-1
247,"[1402, 96]",2496,0,0,-1
248,"[1402, 97]",2491,158,64,-1
249,"[1402, 98]",2448,156,64,-1
250,"[1402, 99]",2447,0,0,-1
251,"[1402, 100]",2106,158,64,-1
252,"[1402, 101]",2105,158,64,-1
253,"[1402, 102]",2103,0,0,-1
254,"[1402, 103]",2098,158,64,-1
255,"[1402, 104]",2008,158,64,-1
256,"[1402, 105]",1997,2,1,-1
257,"[1402, 106]",1991,158,64,-1
258,"[1402, 107]",1913,0,0,-1
259,"[1402, 108]",8767,156,64,-1
260,"[1402, 109]",8750,0,0,-1
261,"[1402, 112]",7309,27,12,-1
262,"[1402, 113]",7134,0,0,-1
263,"[1402, 114]",7012,158,64,-1
264,"[1402, 115]",6925,158,64,-1
265,"[1402, 116]",5717,158,64,-1
266,"[1402, 117]",5715,0,0,-1
267,"[1402, 118]",5714,0,0,-1
268,"[1402, 119]",5701,0,0,-1
269,"[1402, 120]",5700,0,0,-1
270,"[1402, 121]",5693,156,64,-1
271,"[1402, 122]",5688,158,64,-1
272,"[1402, 123]",5613,158,64,-1
273,"[1402, 124]",5612,158,64,-1
274,"[1402, 125]",5611,0,0,-1
275,"[1402, 135]",5323,0,0,-1
276,"[1402, 136]",5310,156,64,-1
277,"[1402, 137]",5307,158,64,-1
278,"[1402, 138]",5304,0,0,-1
279,"[1402, 141]",5184,0,0,-1
280,"[1402, 147]",4922,158,64,-1
281,"[1402, 148]",4919,158,64,-1
282,"[1402, 149]",4861,0,0,-1
283,"[1402, 150]",4859,158,64,-1
284,"[1402, 151]",4856,0,0,-1
285,"[1402, 152]",4676,158,64,-1
286,"[1402, 153]",4641,0,0,-1
287,"[1402, 154]",4631,0,0,-1
288,"[1402, 155]",4628,158,64,-1
289,"[1402, 156]",4535,158,64,-1
290,"[1402, 157]",4402,158,64,-1
291,"[1402, 158]",4399,0,0,-1
292,"[1402, 159]",4384,158,64,-1
293,"[1402, 160]",4336,158,64,-1
294,"[1402, 161]",4330,2,1,-1
295,"[1402, 162]",4140,156,64,-1
296,"[1402, 163]",4138,0,0,-1
297,"[1402, 172]",3957,2,1,-1
298,"[1402, 194]",15877,156,64,-1
299,"[1402, 201]",15769,0,0,-1
300,"[1402, 202]",15500,156,64,-1
301,"[1402, 203]",15499,2,1,-1
302,"[1402, 204]",15260,158,64,-1
303,"[1402, 205]",15255,158,64,-1
304,"[1402, 206]",15192,0,0,-1
305,"[1402, 207]",15079,0,0,-1
306,"[1402, 208]",14565,158,64,-1
307,"[1402, 209]",14552,0,0,-1
308,"[1402, 210]",14551,158,64,-1
309,"[1402, 211]",14550,0,0,-1
310,"[1402, 212]",14545,2,1,-1
311,"[1402, 213]",14544,158,64,-1
312,"[1402, 214]",14542,158,64,-1
313,"[1402, 216]",14130,0,0,-1
314,"[1402, 217]",14129,0,0,-1
315,"[1402, 221]",13642,158,64,-1
316,"[1402, 222]",13640,158,64,-1
317,"[1402, 223]",13639,0,0,-1
318,"[1402, 232]",13336,156,64,-1
319,"[1402, 233]",13126,158,64,-1
320,"[1402, 234]",13125,158,64,-1
321,"[1402, 235]",13117,158,64,-1
322,"[1402, 236]",13076,158,64,-1
323,"[1402, 237]",13059,0,0,-1
324,"[1402, 241]",13014,158,64,-1
325,"[1402, 242]",13008,0,0,-1
326,"[1402, 243]",11926,158,64,-1
327,"[1402, 244]",11890,158,64,-1
328,"[1402, 245]",11888,0,0,-1
329,"[1402, 246]",11887,0,0,-1
330,"[1402, 249]",11139,0,0,-1
331,"[1402, 250]",10882,158,64,-1
332,"[1402, 251]",27892,156,64,-1
333,"[1402, 257]",22327,156,64,-1
334,"[1402, 259]",22220,2,1,-1
335,"[1402, 273]",18780,158,64,-1
336,"[1402, 274]",18768,158,64,-1
337,"[1402, 275]",18513,158,64,-1
338,"[1402, 276]",18465,158,64,-1
339,"[1402, 277]",18461,0,0,-1
340,"[1402, 278]",18460,156,64,-1
341,"[1402, 279]",17586,0,0,-1
342,"[1402, 280]",17517,158,64,-1
343,"[1402, 281]",17516,158,64,-1
344,"[1402, 305]",40030,158,64,-1
345,"[1402, 306]",40026,0,0,-1
346,"[1402, 307]",38958,158,64,-1
347,"[1402, 318]",42831,2,1,-1
348,"[1457, 0]",1250,57,26,4
349,"[1465, 0]",6541,57,26,0
